nombre,descripcion,tipo,precio,stock,categoria,plataforma,imagen
Fire Emblem: Three Houses,RPG táctico con narrativa ramificada,DIGITAL,43.97,32,,PC,prod/fire_emblem_three_houses.png
Final Fantasy VII Remake,Remake del clásico RPG japonés,DIGITAL,33.41,45,,Apple,prod/final_fantasy_vii_remake.png
Persona 5 Royal,RPG japonés con combate por turnos,DIGITAL,20.41,5,,Switch,prod/persona_5_royal.png
Monster Hunter Rise,Caza de monstruos cooperativa,DIGITAL,14.4,43,,PC,prod/monster_hunter_rise.png
Splatoon 3,Shooter multijugador con tinta,DIGITAL,68.02,7,,Apple,prod/splatoon_3.png
Metroid Dread,Acción y exploración en 2D,DIGITAL,46.45,4,,Switch,prod/metroid_dread.png
Assassin's Creed Valhalla,Exploración vikinga en mundo abierto,DIGITAL,68.52,54,,Switch,prod/assassin_s_creed_valhalla.png
Genshin Impact,Aventura RPG con estilo anime,DIGITAL,44.49,3,,Apple,prod/genshin_impact.png
Rocket League,Fútbol con coches acrobáticos,DIGITAL,50.97,76,,Xbox,prod/rocket_league.png
Call of Duty: Warzone,Battle Royale de disparos realistas,DIGITAL,39.12,67,,Switch,prod/call_of_duty_warzone.png
FIFA 24,Simulación de fútbol con licencias oficiales,DIGITAL,42.14,54,,Xbox,prod/fifa_24.png
NBA 2K24,Simulación de baloncesto de última generación,DIGITAL,52.54,43,,PC,prod/nba_2k24.png
Apex Legends,Shooter de escuadrones gratuito,DIGITAL,15.17,13,,Xbox,prod/apex_legends.png
Baldur's Gate 3,RPG basado en D&D de gran profundidad,DIGITAL,44.11,65,,Apple,prod/baldur_s_gate_3.png
Diablo IV,Acción RPG con exploración y botín,DIGITAL,18.15,34,,Xbox,prod/diablo_iv.png
Valorant,Shooter táctico por equipos,DIGITAL,55.75,87,,Playstation,prod/valorant.png
Terraria,Sandbox de construcción y supervivencia,DIGITAL,35.27,54,,PC,prod/terraria.png
Dead Cells,Roguelike de acción rápida,DIGITAL,43.16,56,,Google Play,prod/dead_cells.png
